"long","lat","group","order","region","subregion","long.new","X","Y"
12.3583468,65.87972586,95,3265,"21 1","2",-167.6416532,-11920624.2810994,6898915.13850583
14.76114587,67.81064159,95,3266,"21 1","2",-165.23885413,-11504353.478357,7077426.67895115
16.43592736,68.56320547,95,3267,"21 1","2",-163.56407264,-11291434.0933576,7146016.41199279
19.18402835,69.81744416,95,3268,"21 1","2",-160.81597165,-10941546.1455047,7259013.33191163
21.37841638,70.25516938,95,3269,"21 1","2",-158.62158362,-10736361.2688058,7298045.70247028
23.0237423,70.20207185,95,3270,"21 1","2",-156.9762577,-10631727.3394082,7293322.35818163
24.54654341,71.03049673,95,3271,"21 1","2",-155.45345659,-10423816.8107283,7366657.75335355
26.37004968,70.98626171,95,3272,"21 1","2",-153.62995032,-10307116.8233262,7362761.23060762
28.16554732,71.18547435,95,3273,"21 1","2",-151.83445268,-10161803.9942699,7380292.03338485
31.29341841,70.45378775,95,3274,"21 1","2",-148.70658159,-10041355.6058304,7315686.13601824
30.00543501,70.18625886,95,3275,"21 1","2",-149.99456499,-10160783.620535,7291915.09041752
31.1010422,69.55810109,95,3276,"21 1","2",-148.8989578,-10161643.4693732,7235787.57950993
27.40750573,80.05640575,96,3278,"21 1","3",-152.59249427,-8948477.84413162,8106556.42010189
25.92465051,79.51783397,96,3279,"21 1","3",-154.07534949,-9117375.31034997,8067119.00829811
23.02446577,79.40001171,96,3280,"21 1","3",-156.97553423,-9307334.72738039,8058368.59083479
20.07518843,79.56682323,96,3281,"21 1","3",-159.92481157,-9455753.74494426,8070744.66068138
19.89726647,79.84236197,96,3282,"21 1","3",-160.10273353,-9422658.37756846,8090995.38458087
18.46226362,79.85988028,96,3283,"21 1","3",-161.53773638,-9504321.77121362,8092274.63060276
17.36801517,80.31889619,96,3284,"21 1","3",-162.63198483,-9495342.92354025,8125430.60792296
20.45599206,80.59815563,96,3285,"21 1","3",-159.54400794,-9271555.38995132,8145253.57408226
21.90794478,80.35767935,96,3286,"21 1","3",-158.09205522,-9224278.13727598,8128199.53796615
22.91925256,80.65714427,96,3287,"21 1","3",-157.08074744,-9119391.79231932,8149406.49881755
25.44762536,80.4073404,96,3288,"21 1","3",-154.55237464,-9010243.18131782,8131737.61831645
27.40750573,80.05640575,96,3289,"21 1","3",-152.59249427,-8948477.84413162,8106556.42010189
24.72412,77.85385,97,3291,"21 1","4",-155.27588,-9445644.33293352,7939871.35010996
22.49032,77.44493,97,3292,"21 1","4",-157.50968,-9645511.74512737,7907514.56382256
20.72601,77.67704,97,3293,"21 1","4",-159.27399,-9716858.25662154,7925927.83946829
21.41611,77.93504,97,3294,"21 1","4",-158.58389,-9634060.21071698,7946249.36841101
20.8119,78.25463,97,3295,"21 1","4",-159.1881,-9620080.54250814,7971198.50449397
