Long,Lat,BATHY
127.5,89.5,4220.4727
128.5,89.5,4220.4727
129.5,89.5,4220.4727
130.5,89.5,4188.9766
131.5,89.5,4188.9766
132.5,89.5,4188.9766
133.5,89.5,4157.4805
134.5,89.5,4188.9766
135.5,89.5,4188.9766
136.5,89.5,4220.4727
137.5,89.5,4220.4727
138.5,89.5,4220.4727
139.5,89.5,4220.4727
140.5,89.5,4220.4727
141.5,89.5,4220.4727
142.5,89.5,4220.4727
143.5,89.5,4220.4727
144.5,89.5,4188.9766
145.5,89.5,4188.9766
146.5,89.5,4188.9766
147.5,89.5,4157.4805
148.5,89.5,4157.4805
149.5,89.5,4157.4805
150.5,89.5,4125.9844
151.5,89.5,4125.9844
152.5,89.5,4125.9844
153.5,89.5,4125.9844
154.5,89.5,4125.9844
155.5,89.5,4125.9844
156.5,89.5,4125.9844
157.5,89.5,4125.9844
158.5,89.5,4157.4805
159.5,89.5,4157.4805
160.5,89.5,4157.4805
161.5,89.5,4157.4805
162.5,89.5,4157.4805
163.5,89.5,4157.4805
164.5,89.5,4157.4805
165.5,89.5,4157.4805
166.5,89.5,4157.4805
167.5,89.5,4157.4805
168.5,89.5,4157.4805
169.5,89.5,4125.9844
170.5,89.5,4157.4805
171.5,89.5,4157.4805
172.5,89.5,4157.4805
173.5,89.5,4188.9766
174.5,89.5,4188.9766
175.5,89.5,4188.9766
176.5,89.5,4157.4805
177.5,89.5,4157.4805
178.5,89.5,4125.9844
179.5,89.5,4125.9844
-179.5,88.5,3842.5198
-178.5,88.5,3874.0159
-177.5,88.5,3874.0159
-176.5,88.5,3842.5198
-175.5,88.5,3842.5198
-174.5,88.5,3874.0159
-173.5,88.5,3874.0159
-172.5,88.5,3811.0237
-171.5,88.5,3748.0315
-170.5,88.5,3653.5432
-169.5,88.5,3590.5513
-168.5,88.5,3527.559
-167.5,88.5,3590.5513
-166.5,88.5,3874.0159
-165.5,88.5,3937.0078
-164.5,88.5,3937.0078
-163.5,88.5,3905.5117
-162.5,88.5,3937.0078
-161.5,88.5,3937.0078
-160.5,88.5,3968.504
-159.5,88.5,3937.0078
-158.5,88.5,3937.0078
-157.5,88.5,3937.0078
-156.5,88.5,3905.5117
-155.5,88.5,3842.5198
-154.5,88.5,3842.5198
-153.5,88.5,3874.0159
-152.5,88.5,3905.5117
-151.5,88.5,3905.5117
-150.5,88.5,3905.5117
-149.5,88.5,3874.0159
-148.5,88.5,3622.0474
-147.5,88.5,3433.0708
-146.5,88.5,3685.0393
-145.5,88.5,3748.0315
-144.5,88.5,3685.0393
-143.5,88.5,3590.5513
-142.5,88.5,3716.5354
-141.5,88.5,3842.5198
-140.5,88.5,3905.5117
-139.5,88.5,3905.5117
-138.5,88.5,3842.5198
-137.5,88.5,3779.5276
-136.5,88.5,3716.5354
-135.5,88.5,3716.5354
-134.5,88.5,3433.0708
-133.5,88.5,3622.0474
-132.5,88.5,3685.0393
-131.5,88.5,3685.0393
-130.5,88.5,3685.0393
-129.5,88.5,3685.0393
-128.5,88.5,3464.567
-127.5,88.5,3496.063
-126.5,88.5,3559.0552
-125.5,88.5,3433.0708
-124.5,88.5,3401.5747
-123.5,88.5,3370.0789
-122.5,88.5,3212.5984
-121.5,88.5,3244.0945
-120.5,88.5,3433.0708
-119.5,88.5,3559.0552
-118.5,88.5,3716.5354
-117.5,88.5,3779.5276
-116.5,88.5,3779.5276
-115.5,88.5,3748.0315
-114.5,88.5,3716.5354
-113.5,88.5,3685.0393
-112.5,88.5,3748.0315
-111.5,88.5,3748.0315
-110.5,88.5,3779.5276
-109.5,88.5,3779.5276
-108.5,88.5,3842.5198
-107.5,88.5,3874.0159
-106.5,88.5,3779.5276
-105.5,88.5,3842.5198
-104.5,88.5,3905.5117
-103.5,88.5,3842.5198
-102.5,88.5,3716.5354
-101.5,88.5,3559.0552
-100.5,88.5,3370.0789
-99.5,88.5,3212.5984
-98.5,88.5,3149.6062
-97.5,88.5,3055.1182
-96.5,88.5,2960.63
-95.5,88.5,2897.6377
-94.5,88.5,2740.1575
-93.5,88.5,2582.6772
-92.5,88.5,2393.7007
-91.5,88.5,2204.7244
-90.5,88.5,2078.7402
-89.5,88.5,1921.2599
-88.5,88.5,1858.2677
-87.5,88.5,1669.2914
-86.5,88.5,1669.2914
-85.5,88.5,1858.2677
-84.5,88.5,1858.2677
-83.5,88.5,1795.2756
-82.5,88.5,1763.7795
-81.5,88.5,1763.7795
-80.5,88.5,1763.7795
-79.5,88.5,1669.2914
-78.5,88.5,1543.3071
-77.5,88.5,1448.8188
-76.5,88.5,1385.8268
-75.5,88.5,1385.8268
-74.5,88.5,1385.8268
-73.5,88.5,1385.8268
-72.5,88.5,1385.8268
-71.5,88.5,1385.8268
-70.5,88.5,1385.8268
-69.5,88.5,1322.8346
-68.5,88.5,1228.3464
-67.5,88.5,1196.8503
-66.5,88.5,1196.8503
-65.5,88.5,1291.3386
-64.5,88.5,1543.3071
-63.5,88.5,1763.7795
-62.5,88.5,1984.252
-61.5,88.5,2236.2205
-60.5,88.5,2362.2048
-59.5,88.5,2425.1968
-58.5,88.5,2425.1968
-57.5,88.5,2425.1968
-56.5,88.5,2393.7007
-55.5,88.5,2393.7007
-54.5,88.5,2362.2048
-53.5,88.5,2393.7007
-52.5,88.5,2708.6614
-51.5,88.5,2803.1497
-50.5,88.5,2866.1418
-49.5,88.5,2960.63
-48.5,88.5,3118.1104
-47.5,88.5,3307.0867
-46.5,88.5,3590.5513
-45.5,88.5,3842.5198
-44.5,88.5,3968.504
-43.5,88.5,4000
-42.5,88.5,4000
-41.5,88.5,3937.0078
-40.5,88.5,3905.5117
-39.5,88.5,3937.0078
-38.5,88.5,3968.504
-37.5,88.5,3968.504
-36.5,88.5,3968.504
-35.5,88.5,3968.504
-34.5,88.5,4000
-33.5,88.5,4000
-32.5,88.5,4031.496
-31.5,88.5,4062.9922
-30.5,88.5,4062.9922
-29.5,88.5,4094.4883
-28.5,88.5,4125.9844
-27.5,88.5,4125.9844
-26.5,88.5,4157.4805
-25.5,88.5,4188.9766
-24.5,88.5,4220.4727
-23.5,88.5,4251.9683
-22.5,88.5,4251.9683
-21.5,88.5,4283.4644
-20.5,88.5,4251.9683
-19.5,88.5,4251.9683
-18.5,88.5,4251.9683
-17.5,88.5,4251.9683
-16.5,88.5,4251.9683
-15.5,88.5,4251.9683
-14.5,88.5,4251.9683
-13.5,88.5,4251.9683
-12.5,88.5,4251.9683
-11.5,88.5,4283.4644
-10.5,88.5,4283.4644
-9.5,88.5,4283.4644
-8.5,88.5,4283.4644
-7.5,88.5,4283.4644
-6.5,88.5,4283.4644
-5.5,88.5,4283.4644
-4.5,88.5,4283.4644
-3.5,88.5,4283.4644
-2.5,88.5,4283.4644
-1.5,88.5,4251.9683
-0.5,88.5,4251.9683
0.5,88.5,4251.9683
1.5,88.5,4220.4727
2.5,88.5,4220.4727
3.5,88.5,4220.4727
4.5,88.5,4251.9683
5.5,88.5,4283.4644
6.5,88.5,4346.4565
7.5,88.5,4377.9526
