"Reference","added_or_amended","X","coast","Location","Date","Time","Lat","Long","Temp","Sal","Turbidity","sample","bottom","Community_Respiration","Size_fraction_µm","BR_method","Bacterial_Respiratn","BP_method","Bact_prod_filter","Bact_prod_unfil","Bact_prod_filter.1","Bact_prod_unfil.1","BGE","Bact.Abun.filter","Bact.Abun.unfilt","Bact.biomass","DOC","Chl.a","NH4","PO4","NO2","NO3","log10chl","log10no3","log10_bac_prod","Bact_prod_all","log10_bact_prod_all"
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","12-Mar-03","",-22.33,166.28,27.31,35.38,NA,NA,28.5,NA,"0.6","oxygen microprobe",14.4,"increase in bacterial POC and 20 fg C cell-1",1.27,0,NA,NA,0.02,0.62,NA,NA,NA,0.54,NA,NA,NA,NA,-0.267606240177031,NA,0.103803720955957,1.27,0.103803720955957
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","22-Apr-03","",-22.36,166.39,25.33,35.452,NA,NA,19,NA,"0.6","oxygen microprobe",25.4,"increase in bacterial POC and 20 fg C cell-1",0,0,NA,NA,0.03,0.839,NA,NA,NA,0.55,NA,NA,NA,NA,-0.259637310505756,NA,NA,NA,NA
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","24-Mar-03","",-22.29,166.46,28.22,35.036,NA,NA,11.5,NA,"0.6","oxygen microprobe",18.2,"increase in bacterial POC and 20 fg C cell-1",11.62,0,NA,NA,0.17,1.26,NA,NA,NA,4.47,NA,NA,NA,NA,0.650307523131936,NA,1.06520612805431,11.62,1.06520612805431
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","10-Mar-03","",-22.29,166.46,28.19,35.275,NA,NA,11.5,NA,"0.6","oxygen microprobe",67.2,"increase in bacterial POC and 20 fg C cell-1",3.68,0,NA,NA,0.01,0.8,NA,NA,NA,0.99,NA,NA,NA,NA,-0.00436480540245009,NA,0.565847818673518,3.68,0.565847818673518
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","10-Mar-03","",-22.29,166.46,28.19,35.275,NA,NA,11.5,NA,"0.6","oxygen microprobe",41.3,"increase in bacterial POC and 20 fg C cell-1",3.3,0,NA,NA,0.01,0.6,NA,NA,NA,0.99,NA,NA,NA,NA,-0.00436480540245009,NA,0.518513939877887,3.3,0.518513939877887
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","25-Mar-03","",-22.29,166.46,27.34,35.16,NA,NA,14.5,NA,"0.6","oxygen microprobe",10.6,"increase in bacterial POC and 20 fg C cell-1",7.36,0,NA,NA,0.21,1.13,NA,NA,NA,1.23,NA,NA,NA,NA,0.0899051114393979,NA,0.866877814337499,7.36,0.866877814337499
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","10-Apr-03","",-22.29,166.46,26.43,34.842,NA,NA,14.5,NA,"0.6","oxygen microprobe",43.2,"increase in bacterial POC and 20 fg C cell-1",6.03,0,NA,NA,0.04,0.95,NA,NA,NA,2.64,NA,NA,NA,NA,0.421603926869831,NA,0.780317312140151,6.03,0.780317312140151
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","10-Apr-03","",-22.29,166.46,26.43,34.842,NA,NA,14.5,NA,"0.6","oxygen microprobe",39.6,"increase in bacterial POC and 20 fg C cell-1",5.49,0,NA,NA,0.04,0.95,NA,NA,NA,2.64,NA,NA,NA,NA,0.421603926869831,NA,0.739572344450092,5.49,0.739572344450092
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","15-Apr-03","",-22.29,166.46,25.72,34.948,NA,NA,14.5,NA,"0.6","oxygen microprobe",28,"increase in bacterial POC and 20 fg C cell-1",1.47,0,NA,NA,0.03,1.43,NA,NA,NA,0.81,NA,NA,NA,NA,-0.0915149811213502,NA,0.167317334748176,1.47,0.167317334748176
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","15-Apr-03","",-22.29,166.46,25.72,34.948,NA,NA,14.5,NA,"0.6","oxygen microprobe",25.4,"increase in bacterial POC and 20 fg C cell-1",0,0,NA,NA,0.03,1.43,NA,NA,NA,0.81,NA,NA,NA,NA,-0.0915149811213502,NA,NA,NA,NA
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","22-Apr-03","",-22.29,166.46,25.61,35.168,NA,NA,14.5,NA,"0.6","oxygen microprobe",16.8,"increase in bacterial POC and 20 fg C cell-1",6.58,0,NA,NA,0.07,0.84,NA,NA,NA,0.68,NA,NA,NA,NA,-0.167491087293764,NA,0.818225893613955,6.58,0.818225893613955
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","26-Mar-03","",-22.3,166.46,27.66,35.127,NA,NA,12.5,NA,"0.6","oxygen microprobe",7.4,"increase in bacterial POC and 20 fg C cell-1",5.46,0,NA,NA,0.17,0.89,NA,NA,NA,1.16,NA,NA,NA,NA,0.0644579892269184,NA,0.737192642704737,5.46,0.737192642704737
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","27-Mar-03","",-22.31,166.47,27.65,35.167,NA,NA,15,NA,"0.6","oxygen microprobe",17.3,"increase in bacterial POC and 20 fg C cell-1",5.78,0,NA,NA,0.17,1.19,NA,NA,NA,2.23,NA,NA,NA,NA,0.348304863048161,NA,0.761927838420529,5.78,0.761927838420529
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","8-Apr-03","",-22.32,166.46,26.41,35.25,NA,NA,17.6,NA,"0.6","oxygen microprobe",7.2,"increase in bacterial POC and 20 fg C cell-1",2.24,0,NA,NA,0.04,0.91,NA,NA,NA,1.21,NA,NA,NA,NA,0.0827853703164501,NA,0.350248018334163,2.24,0.350248018334163
